X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
4712970.547003053,2256367.91062989,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712810.303659485,2256328.5033090063,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712850.326066521,2256328.34954504,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712890.348464781,2256328.1957811527,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712930.370854264,2256328.042017343,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712970.393234969,2256327.8882536115,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4713010.415606902,2256327.7344899583,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712810.149899866,2256288.480897544,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712850.172306981,2256288.3271423546,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712890.194705321,2256288.1733872434,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712930.217094882,2256288.01963221,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712970.239475668,2256287.865877256,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4713010.261847677,2256287.712122378,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4713050.284210909,2256287.55836758,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712769.973733058,2256248.612232495,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712809.996149028,2256248.458486004,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712850.01855622,2256248.3047395907,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712890.040954636,2256248.1509932554,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712930.063344275,2256247.9972469998,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4712970.08572514,2256247.8435008205,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
4713010.108097226,2256247.6897547203,2022-02-23,0.0,0.0,103.16508865356445,175.78927206993103,302.9103982448578
