,X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
0,4708318.221488716,2253864.274764464,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
1,4708358.244883627,2253864.121535882,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
2,4708398.268269759,2253863.9683073787,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
3,4708438.291647114,2253863.8150789537,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
4,4708318.068264484,2253824.2513651275,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
5,4708358.091659473,2253824.098145323,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
6,4708398.115045684,2253823.944925597,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
7,4708438.138423117,2253823.791705949,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
8,4708478.161791775,2253823.6384863807,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
9,4708518.185151653,2253823.4852668904,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
10,4708558.208502756,2253823.3320474788,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
11,4708357.938444097,2253784.0747546847,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
12,4708397.961830385,2253783.921543736,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
13,4708437.9852079,2253783.768332866,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
14,4708478.008576634,2253783.6151220747,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
15,4708518.031936592,2253783.4619113617,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
16,4708558.055287773,2253783.308700728,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
17,4708598.078630175,2253783.155490172,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
18,4708397.808623865,2253743.898161797,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
19,4708437.832001456,2253743.744959704,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
20,4708477.855370269,2253743.59175769,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
21,4708517.878730306,2253743.4385557547,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
22,4708557.902081565,2253743.2853538976,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
23,4708597.925424048,2253743.132152119,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
24,4708157.51497578,2253704.793941322,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
25,4708357.632039676,2253704.0279731727,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
26,4708397.655426123,2253703.874779779,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
27,4708437.678803793,2253703.7215864635,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
28,4708477.7021726845,2253703.5683932267,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
29,4708517.7255328,2253703.4152000686,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
30,4708557.748884137,2253703.262006989,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
31,4708597.772226698,2253703.108813988,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
32,4708637.79556048,2253702.9556210656,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
33,4708117.338347151,2253664.92369165,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
34,4708157.361786341,2253664.7705065613,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
35,4708197.385216755,2253664.617321552,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
36,4708357.47885063,2253664.0045822994,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
37,4708397.502237156,2253663.8513976824,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
38,4708437.525614903,2253663.6982131447,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
39,4708477.548983876,2253663.545028685,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
40,4708517.572344069,2253663.3918443043,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
41,4708557.595695485,2253663.238660002,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
42,4708597.6190381255,2253663.085475778,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
43,4708637.642371986,2253662.932291633,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
44,4708117.185166413,2253624.9002480325,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
45,4708157.208605682,2253624.747071722,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
46,4708197.232036172,2253624.59389549,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
47,4708237.255457887,2253624.440719336,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
48,4708277.278870823,2253624.287543261,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
49,4708317.3022749815,2253624.1343672643,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
50,4708357.325670362,2253623.9811913464,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
51,4708397.349056968,2253623.828015507,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
52,4708437.372434795,2253623.6748397467,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
53,4708477.395803843,2253623.521664065,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
54,4708517.419164116,2253623.368488461,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
55,4708557.442515612,2253623.2153129363,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
56,4708597.46585833,2253623.06213749,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
57,4708157.055433798,2253584.723636804,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
58,4708197.078864368,2253584.570469349,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
59,4708237.102286161,2253584.417301973,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
60,4708277.125699175,2253584.264134675,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
61,4708317.149103413,2253584.110967456,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
62,4708357.172498873,2253583.957800316,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
63,4708397.195885557,2253583.8046332537,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
64,4708437.219263462,2253583.6514662704,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
65,4708477.24263259,2253583.498299366,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
66,4708517.265992942,2253583.3451325395,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
67,4708557.289344515,2253583.1919657923,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
68,4708597.31268731,2253583.0387991234,2022-02-23,0.0,0.0,148.22093105316162,214.1472885608673,343.32208275794983
