epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,355081.30521616543,630.7273270192003,0.003544505783601811,630.7273270192003,0.45513602940292286,-1328.485107421875,353819.85103316186
2,225484.61601268797,3471.9547394487195,0.0022201266054841305,3471.9547394487195,0.8423725116045973,-4553.171875,218540.70580896433
3,160803.10320723685,8680.610856364545,0.0015212249319783335,8680.610856364545,1.2274318942659672,-9668.3173828125,143441.88234146882
4,124383.14623472745,16249.465823983788,0.0010813368058542867,16249.465823983788,1.6116880812433663,-16670.05078125,91884.21476144489
5,103883.12664473684,25398.688410479324,0.000784844384157568,25398.688410479324,1.8344974795366025,-21598.080078125,53085.75000527747
6,91718.59066611843,25490.755220570958,0.0006622783542099528,25490.755220570958,1.7313024437187705,-19236.423828125,40737.08020042432
7,82195.8202831297,22844.22834674577,0.0005935159189314966,22844.22834674577,1.644153542534712,-17348.451171875,36507.363546403896
8,74347.13554393797,20661.800516917294,0.0005368533523672758,20661.800516917294,1.5672160122256409,-15762.7216796875,33023.53471981028
9,67761.79076597745,18830.993722098214,0.000489307970335511,18830.993722098214,1.4979735832737215,-14400.552734375,30099.803311452884
10,62146.94227267387,17270.81953418703,0.0004487612274435132,17270.81953418703,1.4368673673993686,-13249.564453125,27605.30321016429
11,57289.224756226504,15919.827577978149,0.0004136939724527397,15919.827577978149,1.3810215791346356,-12239.5791015625,25449.569667295822
12,53033.88833411654,14737.032208206063,0.0003829685614673645,14737.032208206063,1.3305588804259643,-11361.3779296875,23559.823938530386
13,49264.65602972275,13690.432220688439,0.00035574223869830313,13690.432220688439,1.2834968869327943,-10571.8154296875,21883.791649141873
14,45892.87821604793,12753.728368773496,0.0003313914979055272,12753.728368773496,1.2385829233153778,-9844.8046875,20385.421421779225
15,42849.86002114662,11906.659587200424,0.00030943200474034267,11906.659587200424,1.1976848820338875,-9205.322265625,19036.54088683384
16,40082.255624412595,11137.641179364427,0.00028944614472890037,11137.641179364427,1.1551053851216344,-8562.361328125,17806.97329352561
