epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,12215693119.518797,595.8612359283786,122.1569257750547,595.8612359283786,0.4459798730983115,-1275.531494140625,12215691981.644234
2,8876559658.345865,3374.2898096070253,88.76556253074703,3374.2898096070253,0.8327257365251003,-4449.4609375,8876552878.784893
3,7044710423.097744,8518.84139119772,70.44701887431897,8518.84139119772,1.2175287828430963,-9512.919921875,7044693368.590506
4,5872815065.503759,16022.521029135338,58.72799055916922,16022.521029135338,1.601626585631887,-16462.552734375,5872783033.395893
5,5049405740.270677,25883.01786448543,50.49379846386444,25883.01786448543,1.9853727580682712,-25296.939453125,5049353963.36858
6,4433037195.548872,38098.98954417293,44.32999084587384,38098.98954417293,2.368916399503561,-36015.4140625,4432960985.597839
7,3950131051.7894735,52669.91398907425,39.50078379121938,52669.91398907425,2.7523311791199228,-48617.59375,3950025709.207949
8,3558621996.2706766,69595.14980321898,35.585524092939565,69595.14980321898,3.135659158819805,-63103.265625,3558482814.144153
9,3232589912.541353,88874.5504288064,32.32501037138745,88874.5504288064,3.5189293824135044,-79472.4609375,3232412162.588316
10,2955348580.0902257,110508.39514802632,29.552380784113605,110508.39514802632,3.9021545914177036,-97724.96875,2955127570.016213
11,2715509292.2706766,134496.24453712406,27.15374798165228,134496.24453712406,4.285350311809045,-117860.96875,2715240301.9206905
12,2505101601.6842103,160838.41952537594,25.04940759328971,160838.41952537594,4.668526869092799,-139880.65625,2504779920.909446
13,2318373833.142857,189535.53242481203,23.181842997558135,189535.53242481203,5.051684659453673,-163783.765625,2317994764.2233887
14,2151056045.233083,220586.32178101502,21.5083545885588,220586.32178101502,5.4348294068685075,-189570.421875,2150614872.5340986
15,1999917716.2105262,253992.2535244361,19.99663720095068,253992.2535244361,5.817960409806698,-217240.359375,1999409727.8415434
16,1862467036.8721805,289750.10291353386,18.621772888011503,289750.10291353386,6.201046996774107,-246791.0,1861887538.6982367
