epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,12217041608.18045,618.7968189552762,122.17041072988869,618.7968189552762,0.45174002276339764,-1308.7191162109375,12217040454.192049
2,8879657381.533834,3434.105386146029,88.79653956477803,3434.105386146029,0.8385378243178641,-4511.802734375,8879650522.372416
3,7049123010.406015,8615.01400045524,70.49114403688819,8615.01400045524,1.2233702795822985,-9604.431640625,7049105788.674818
4,5878308856.300752,16155.27708308858,58.78292706138209,16155.27708308858,1.6074855045596477,-16583.224609375,5878276550.861126
5,5055862914.887218,26052.179085408836,50.5583687402252,26052.179085408836,1.991243265814688,-25446.765625,5055810821.843434
6,4440366319.639098,38304.57575334822,44.40328011476904,38304.57575334822,2.3747936962270835,-36194.3515625,4440289706.901151
7,3958257196.2706766,52911.53298284775,39.58204279447857,52911.53298284775,2.758213349082851,-48825.62890625,3958151367.914874
8,3567336568.3007517,69873.25262864192,35.6726670372755,69873.25262864192,3.141545099255578,-63340.3984375,3567196830.474921
9,3241951467.7894735,89188.89235784774,32.41862278414848,89188.89235784774,3.524816002338533,-79738.578125,3241773089.5224905
10,2965337574.0150375,110859.06490836466,29.65226726245163,110859.06490836466,3.908045973851924,-98020.2734375,2965115867.1802545
11,2726073917.593985,134883.45447603383,27.259390357741736,134883.45447603383,4.291243424270263,-118185.3515625,2725804152.319698
12,2516193478.255639,161261.99019031954,25.16032221801299,161261.99019031954,4.674421248081585,-140234.09375,2515870959.8111086
13,2329950639.1578946,189995.2077655075,23.297606353472947,189995.2077655075,5.057578626427868,-164166.171875,2329570640.139529
14,2163079752.180451,221082.57888862782,21.628586697399168,221082.57888862782,5.440720755289333,-189981.640625,2162637587.1610284
15,2012351711.2781954,254524.18115601502,20.120971866120072,254524.18115601502,5.823850316880383,-217680.453125,2011842662.4308512
16,1875273565.8345864,290317.7495300752,18.749832418628205,290317.7495300752,6.2069323023500935,-247259.65625,1874692924.1132905
