epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,15489777785.772972,2162.9577655572075,154.89775708172772,2162.9577655572075,0.807712018904314,-4537.3095703125,15489773545.215006
2,9315732420.958559,13359.503054617117,93.15719054625914,13359.503054617117,1.5533428415463144,-16783.78125,9315705695.12286
3,6801233621.102703,34824.63492750563,68.01198784080711,34824.63492750563,2.29741138241687,-36715.2734375,6801163959.445783
4,5376059121.700901,66542.94589667793,53.75992572543857,66542.94589667793,3.040946788167994,-64326.796875,5375926029.5979595
5,4430077601.902702,108510.62846283783,44.2996908445616,108510.62846283783,3.7842402968936564,-99617.1484375,4429860573.827698
6,3741137995.1855855,160727.0611204955,37.40977270452826,160727.0611204955,4.527411156745824,-142586.328125,3740816543.3917055
7,3208511898.061261,223192.04355292793,32.08288704124657,223192.04355292793,5.270516950236427,-193234.75,3208065512.0811043
8,2779633893.708108,295903.57249436935,27.793379953745248,295903.57249436935,6.013510751129916,-251556.46875,2779042091.80203
9,2424310215.726126,378858.0624436937,24.239313592996684,378858.0624436937,6.756475380271062,-317555.8125,2423552501.2372246
10,2123760229.9387388,472061.42027027026,21.232881700670397,472061.42027027026,7.499441761858142,-391235.09375,2122816108.6467695
11,1865300048.0288289,575515.6530968469,18.647245352117864,575515.6530968469,8.242412430283894,-472594.6875,1864149019.5586894
12,1639266415.3945947,689219.951463964,16.385771954166998,689219.951463964,8.985382501254337,-561634.0,1637887975.465236
13,1437089480.8792794,813174.8038288289,14.362763078363091,813174.8038288289,9.728354660445623,-658353.5,1435463133.0324805
14,1252079326.3279278,947380.0550675676,12.51131945085955,947380.0550675676,10.471326641864678,-762752.9375,1250184565.0308876
15,1083022084.9585586,1091852.125,10.819302350980742,1091852.125,11.214540674784086,-874870.0,1080838382.9730742
16,932335397.4774774,1246630.9081081082,9.310887661495725,1246630.9081081082,11.957865175305383,-994690.375,929842135.2414644
