epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,0.0721063221265611,0.07210454986871857,1.7722206113077615e-10,0.07210454986871857,0.001745040876130324,0.9326545596122742,0.07210277764810727
2,0.03966720676735828,0.039664423485335554,2.7833626759393423e-10,0.039664423485335554,0.0018194457695241324,0.9267892241477966,0.03966164012265962
3,0.025781700669444706,0.025778473943079774,3.226770037205962e-10,0.025778473943079774,0.0019142448804786347,0.9189614057540894,0.025775247173042568
4,0.016051034406317694,0.016047511923764097,3.5225363908658894e-10,0.016047511923764097,0.002008198998283657,0.910811185836792,0.016043989387373232
5,0.009874335435023042,0.009870614923879896,3.720562861818012e-10,0.009870614923879896,0.0020247549002277015,0.9093345403671265,0.009866894361018078
6,0.007749941304179006,0.007746171794439617,3.769565474823357e-10,0.007746171794439617,0.0020606635717990004,0.9060901403427124,0.007742402228964794
7,0.0063402754021808505,0.006336424309809349,3.8510852438287e-10,0.006336424309809349,0.001967467674270372,0.9143924713134766,0.006332573224565521
8,0.00548673191683759,0.005482880469093001,3.851472149248683e-10,0.005482880469093001,0.0019568565046090736,0.9153133630752563,0.005479028996943753
9,0.00549152975987741,0.005487673330782472,3.856445133991982e-10,0.005487673330782472,0.001991304286789594,0.9123055338859558,0.00548381688564848
10,0.005104408133774996,0.005100536463463581,3.8716790628764253e-10,0.005100536463463581,0.001962269552914952,0.9148442149162292,0.005096664784400705
11,0.004710579971096625,0.004706706557618945,3.8734134759282014e-10,0.004706706557618945,0.0019694067363239614,0.9142236113548279,0.004702833144143016
12,0.004378113276815336,0.004374204326028887,3.908915468355928e-10,0.004374204326028887,0.0019100235421277386,0.919318437576294,0.004370295410560531
13,0.004373746369597747,0.004369865275772386,3.881095415807734e-10,0.004369865275772386,0.0019118387895079745,0.9191650152206421,0.0043659841803565785
14,0.004030733905414021,0.004026837496846718,3.8964086562494993e-10,0.004026837496846718,0.001986870180169235,0.9126956462860107,0.004022941088190469
15,0.0040304050229391765,0.00402652121173512,3.8838096481553843e-10,0.00402652121173512,0.0019620293338884253,0.9148650169372559,0.004022637402086964
16,0.003887050206111254,0.0038831353212069523,3.914874911820953e-10,0.0038831353212069523,0.0018793841404429704,0.921886146068573,0.0038792204462951316
