parameter,variation_pct,original_value,modified_value,pred_mae_diff,pred_diff_pct,physics_loss,physics_loss_diff_pct
c_prime,-50.0,5.153947830200195,2.5769739151000977,0.0,0.0,2.6890936495093634e-09,236.81880135814572
c_prime,-25.0,5.153947830200195,3.8654608726501465,0.0,0.0,1.506413268979513e-09,88.6837640259426
c_prime,-10.0,5.153947830200195,4.638553047180176,0.0,0.0,1.0351550786138008e-09,29.656954439690836
c_prime,0.0,5.153947830200195,5.153947830200195,0.0,0.0,7.983799118891822e-10,0.0
c_prime,10.0,5.153947830200195,5.669342613220215,0.0,0.0,6.12699262670409e-10,-23.257179502350294
c_prime,25.0,5.153947830200195,6.442434787750244,0.0,0.0,4.1198523832208205e-10,-48.397344148199586
c_prime,50.0,5.153947830200195,7.730921745300293,0.0,0.0,2.2695184620502573e-10,-71.57345233449118
phi,-50.0,15.155189514160156,7.577594757080078,0.0,0.0,2.927819145021341e-09,266.72004160191494
phi,-25.0,15.155189514160156,11.366392135620117,0.0,0.0,1.5931106843082358e-09,99.54293195309816
phi,-10.0,15.155189514160156,13.639670562744142,0.0,0.0,1.0627053739921765e-09,33.10772956167309
phi,0.0,15.155189514160156,15.155189514160156,0.0,0.0,7.983799118891822e-10,0.0
phi,10.0,15.155189514160156,16.670708465576173,0.0,0.0,5.936748490470142e-10,-25.6400567942373
phi,25.0,15.155189514160156,18.943986892700195,0.0,0.0,3.781945224826257e-10,-52.629754725702526
phi,50.0,15.155189514160156,22.732784271240234,0.0,0.0,1.9528199671360968e-10,-75.5402166555619
sigma_n,-50.0,20.155254364013672,10.077627182006836,0.0,0.0,2.868919721671067e-09,259.34267370059814
sigma_n,-25.0,20.155254364013672,15.116440773010254,0.0,0.0,1.5615564689272937e-09,95.5906512267111
sigma_n,-10.0,20.155254364013672,18.139728927612307,0.0,0.0,1.0509714093150759e-09,31.638007628247315
sigma_n,0.0,20.155254364013672,20.155254364013672,0.0,0.0,7.983799118891822e-10,0.0
sigma_n,10.0,20.155254364013672,22.17077980041504,0.0,0.0,6.031227768672253e-10,-24.4566693267527
sigma_n,25.0,20.155254364013672,25.19406795501709,0.0,0.0,3.9643588996347333e-10,-50.34495682319974
sigma_n,50.0,20.155254364013672,30.232881546020508,0.0,0.0,2.1393943561154316e-10,-73.20330428839263
eta,-50.0,1000000.0,500000.0,0.0001200002,0.3881489159539342,1.4754955882831815e-10,-81.51887884062913
eta,-25.0,1000000.0,750000.0,0.0001200002,0.3881489159539342,1.4754955882831815e-10,-81.51887884062913
eta,-10.0,1000000.0,900000.0,0.0001200002,0.3881489159539342,1.4754955882831815e-10,-81.51887884062913
eta,0.0,1000000.0,1000000.0,0.0001200002,0.3881489159539342,1.4754955882831815e-10,-81.51887884062913
eta,10.0,1000000.0,1100000.0,0.0001200002,0.3881489159539342,1.4754955882831815e-10,-81.51887884062913
eta,25.0,1000000.0,1250000.0,0.0001200002,0.3881489159539342,1.4754955882831815e-10,-81.51887884062913
eta,50.0,1000000.0,1500000.0,0.0001200002,0.3881489159539342,1.4754955882831815e-10,-81.51887884062913
